,Q.no.,topics,questions,answers
0,1,basic data science,What is Data Science? List the differences between supervised and unsupervised learning. ,"Data Science is a blend of various tools, algorithms, and machine learning principles with the goal to discover hidden patterns from the raw data. How is this different from what statisticians have been doing for years?  The answer lies in the difference between explaining and predicting.  The differences between supervised and unsupervised learning are as follows;  Supervised Learning  Input data is labelled.  Uses a training data set. Used for prediction. Enables classification and regression. Unsupervised Learning Input data is unlabelled.  Uses the input data set. Used for analysis.Enables Classification, Density Estimation, & Dimension Reduction "
1,2,Basic Data Science ,What is Selection Bias?,"Selection bias is a kind of error that occurs when the researcher decides who is going to be studied. It is usually associated with research where the selection of participants isnï¿½t random.ï¿½It is sometimes referred to as the selection effect. It is the distortion of statistical analysis, resulting from the method of collecting samples. If the selection bias is not taken into account, then some conclusions of the study may not be accurate.  The types of selection bias include:  Sampling bias: It is a systematic error due to a non-random sample of a population causing some members of the population to be less likely to be included than others resulting in a biased sample.  Time interval: A trial may be terminated early at an extreme value (often for ethical reasons), but the extreme value is likely to be reached by the variable with the largest variance, even if all variables have a similar mean.  Data: When specific subsets of data are chosen to support a conclusion or rejection of bad data on arbitrary grounds, instead of according to previously stated or generally agreed criteria.  Attrition:ï¿½Attrition bias is a kind of selection bias caused by attrition (loss of participants) discounting trial subjects/tests that did not runï¿½to completion. "
2,3,Basic Data Science ,What is bias variance trade off?,"Bias: Bias is an error introduced in your model due to oversimplification of the machine learning algorithm. It can lead to underfitting. When you train your model at that time model makes simplified assumptions to make the target function easier to understand.  Low bias machine learning algorithms ï¿½ Decision Trees, k-NN and SVM High bias machine learning algorithms ï¿½ Linear Regression, Logistic Regression  Variance: Variance is error introduced in your model due to complex machine learning algorithm, your model learns noise also from the training data set and performs badly on test data set. It can lead to high sensitivity and overfitting.  Normally, as you increase the complexity of your model, you will see a reduction in error due to lower bias in the model. However, this only happens until a particular point. As you continue to make your model more complex, you end up over-fitting your model and hence your model will start suffering from high variance.  Bias-Variance trade-off:ï¿½The goal of any supervised machine learning algorithm is to have low bias and low variance to achieve good prediction performance.  The k-nearest neighbour algorithm has low bias and high variance, but the trade-off can be changed by increasing the value of k which increases the number of neighbours that contribute to the prediction and in turn increases the bias of the model.  The support vector machine algorithm has low bias and high variance, but the trade-off can be changed by increasing the C parameter that influences the number of violations of the margin allowed in the training data which increases the bias but decreases the variance.  There is no escaping the relationship between bias and variance in machine learning. Increasing the bias will decrease the variance. Increasing the variance will decrease bias. "
3,4,Basic Data Science ,What is a confusion matrix?,"The confusion matrix is a 2X2 table that contains 4 outputs provided by theï¿½binary classifier. Various measures, such as error-rate, accuracy, specificity, sensitivity, precision and recall are derived from it.ï¿½Confusion Matrix  A data set used for performance evaluation is called a test data set. It should contain the correct labels and predicted labels.  The predicted labels will exactly the same if the performance of a binary classifier is perfect.  The predicted labels usually match with part of the observed labels in real-world scenarios.  A binary classifier predicts all data instances of a test data set as either positive or negative. This produces four outcomes-  True-positive(TP) ï¿½ Correct positive prediction  False-positive(FP) ï¿½ Incorrect positive prediction  True-negative(TN) ï¿½ Correct negative prediction  False-negative(FN) ï¿½ Incorrect negative prediction  Basic measures derived from the confusion matrix  Error Rate = (FP+FN)/(P+N)  Accuracy = (TP+TN)/(P+N)  Sensitivity(Recall or True positive rate) = TP/P  Specificity(True negative rate) = TN/N  Precision(Positive predicted value) = TP/(TP+FP)  F-Score(Harmonic mean of precision and recall) = (1+b)(PREC.REC)/(bï¿½PREC+REC) where b is commonly 0.5, 1, 2.  ï¿½ "
4,5,Statistics ,What is the difference between ï¿½longï¿½ and ï¿½wideï¿½ format data? ,"In the wide-format, a subjectï¿½s repeated responses will be in a single row, and each response is in a separate column.ï¿½In theï¿½long-format, each row is a one-time point per subject.ï¿½You can recognize data in wide format by the fact that columns generally represent groups. "
5,6,Statistics ,What do you understand by the term Normal Distribution?,"Data is usually distributed in different ways with a bias to the left or to the right or it can all be jumbled up.  However, there are chances that data is distributed around a central value without any bias to the left or right and reaches normal distribution in the form of a bell-shaped curve.  Figure:ï¿½Normal distribution in a bell curve  The random variables are distributed in the form of a symmetrical, bell-shaped curve.  Properties of Normal Distribution are as follows;  Unimodal -one mode  Symmetrical -left and right halves are mirror images  Bell-shaped -maximum height (mode) at the mean  Mean, Mode, and Median are all located in the center  Asymptotic "
6,7,Statistics ,What is correlation and covariance in statistics?,"Covariance and Correlation are two mathematical concepts; these two approaches are widely used in statistics. Both Correlation and Covariance establish the relationship and also measure the dependency between two random variables. Though the work is similar between these two in mathematical terms, they are different from each other.  Correlation: Correlation is considered or described as the best technique for measuring and also for estimating the quantitative relationship between two variables. Correlation measures how strongly two variables are related.  Covariance: In covariance two items vary together and itï¿½s a measure that indicates the extent to which two random variables change in cycle. It is a statistical term; it explains the systematic relation between a pair of random variables, wherein changes in one variable reciprocal by a corresponding change in another variable. "
7,8,Statistics ,What is the difference between Point Estimates and Confidence Interval?,"Point Estimation gives us a particular value as an estimate of a population parameter. Method of Moments and Maximum Likelihood estimator methods are used to derive Point Estimators for population parameters.  A confidence interval gives us a range of values which is likely to contain the population parameter. The confidence interval is generally preferred, as it tells us how likely this interval is to contain the population parameter. This likeliness or probability is called Confidence Level or Confidence coefficient and represented by 1 ï¿½ alpha, where alpha is the level of significance. "
8,9,Statistics , What is the goal of A/B Testing?,It is a hypothesis testing for a randomized experiment with two variables A and B.  The goal of A/B Testing is to identify any changes to the web page to maximize or increase the outcome of interest. A/B testing is a fantastic method for figuring out the best online promotional and marketing strategies for your business. It can be used to test everything from website copy to sales emails to search ads  An example of this could be identifying the click-through rate for a banner ad. 
9,10,Statistics , What is p-value?,"When you perform a hypothesis test in statistics, a p-value can help you determine the strength of your results. p-value is a number between 0 and 1. Based on the value it will denote the strength of the results. The claim which is on trial is called the Null Hypothesis.  Low p-value (= 0.05) indicates strength against the null hypothesis which means we can reject the null Hypothesis. High p-value (= 0.05) indicates strength for the null hypothesis which means we can accept the null Hypothesis p-value of 0.05 indicates the Hypothesis could go either way. To put it in another way,  High P values: your data are likely with a true null. Low P values: your data are unlikely with a true null. "
10,11,Statistics ,"In any 15-minute interval, there is a 20% probability that you will see at least one shooting star. What is the probaï¿½bility that you see at least one shooting star in the period of an hour?",Probability of not seeing any shooting star in 15 minutes is  =ï¿½ï¿½ 1 ï¿½ P( Seeing one shooting star ) =ï¿½ï¿½ 1 ï¿½ 0.2ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ =ï¿½ï¿½ï¿½ 0.8  Probability of not seeing any shooting star in the period of one hour  =ï¿½ï¿½ (0.8) ^ 4ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ =ï¿½ï¿½ï¿½ 0.4096  Probability of seeing at least one shooting star in the one hour  =ï¿½ï¿½ 1 ï¿½ P( Not seeing any star ) =ï¿½ï¿½ 1 ï¿½ 0.4096ï¿½ï¿½ï¿½ï¿½ =ï¿½ï¿½ï¿½ 0.5904 
11,12,Statistics ,How can you generate a random number between 1 ï¿½ 7 with only a die?,"Any die has six sides from 1-6. There is no way to get seven equal outcomes from a single rolling of a die.ï¿½If we roll the die twice and consider the event of two rolls, we now have 36 different outcomes.  To get our 7 equal outcomes we have to reduce this 36 to a number divisible by 7. We can thus consider only 35 outcomes and exclude the other one.  A simple scenario can be to exclude the combination (6,6), i.e., to roll the die again if 6 appears twice.  All the remaining combinations from (1,1) till (6,5) can be divided into 7 parts of 5 each. This way all the seven sets of outcomes are equally likely. "
12,13,Statistics ," A certain couple tells you that they have two children, at least one of which is a girl. What is the probability that they have two girls?","In the case of two children, there are 4 equally likely possibilitiesï¿½  BB, BG, GB and GG;  whereï¿½Bï¿½= Boy andï¿½Gï¿½= Girl and the first letter denotes the first child.  From the question, we can exclude the first case of BB.ï¿½Thus from the remaining 3 possibilities ofï¿½BG,ï¿½GBï¿½&ï¿½BB, we have to find the probability of the case with two girls.  Thus, P(Having two girls given one girl)ï¿½ï¿½ =ï¿½ï¿½ï¿½ï¿½1 / 3 "
13,14,Statistics ,"A jar has 1000 coins, of which 999 are fair and 1 is double headed. Pick a coin at random, and toss it 10 times. Given that you see 10 heads, what is the probability that the next toss of that coin is also a head?",There are two ways of choosing the coin. One is to pick a fair coin and the other is to pick the one with two heads.  Probability of selecting fair coin = 999/1000 =ï¿½0.999 Probability of selecting unfair coin = 1/1000 =ï¿½0.001  Selecting 10 heads in a row = Selecting fair coin * Getting 10 headsï¿½ +ï¿½ Selecting an unfair coin  P (A)ï¿½ =ï¿½ 0.999 * (1/2)^5ï¿½ =ï¿½ 0.999 * (1/1024)ï¿½ =ï¿½ï¿½0.000976 P (B)ï¿½ =ï¿½ 0.001 * 1ï¿½ =ï¿½ï¿½0.001 P( A / A + B )ï¿½ = 0.000976 /ï¿½ (0.000976 + 0.001)ï¿½ =ï¿½ï¿½0.4939 P( B / A + B )ï¿½ = 0.001 / 0.001976ï¿½ =ï¿½ï¿½0.5061  Probability of selecting another head = P(A/A+B) * 0.5 + P(B/A+B) * 1 = 0.4939 * 0.5 + 0.5061 ï¿½=ï¿½ï¿½0.7531 
14,15,Statistics ,What do you understand by statistical power of sensitivity and how do you calculate it?,"Sensitivity is commonly used to validate the accuracy of a classifier (Logistic, SVM, Random Forest etc.).  Sensitivity is nothing but ï¿½Predicted True events/ Total eventsï¿½. True events here are the events which were true and model also predicted them as true.  Calculation of seasonality is pretty straightforward.  Seasonalityï¿½= (ï¿½True Positivesï¿½) / (ï¿½Positives in Actual Dependent Variableï¿½) "
15,16,Statistics , Why Is Re-sampling Done?,"Resampling is done in any of these cases:  Estimating the accuracy of sample statistics by using subsets of accessible data or drawing randomly with replacement from a set of data points  Substituting labels on data points when performing significance tests  Validating models by using random subsets (bootstrapping, cross-validation) "
16,17,Statistics ,What are the differences between over-fitting and under-fitting?,"In statistics and machine learning, one of the most common tasks is to fit aï¿½modelï¿½to a set of training data, so as to be able to make reliable predictions on general untrained data.  In overfitting, a statistical model describes random error or noise instead of the underlying relationship. Overfitting occurs when a model is excessively complex, such as having too many parameters relative to the number of observations. A model that has been overfitted, has poor predictive performance, as it overreacts to minor fluctuations in the training data.  Underfittingï¿½occurs when a statistical model or machine learning algorithm cannot capture the underlying trend of the data. Underfitting would occur, for example, when fitting a linear model to non-linear data.ï¿½Such a model too would have poor predictiveï¿½performance. "
17,18,Statistics,How to combat Overfitting and Underfitting?,"To combat overfitting and underfitting, you can resample the data to estimate the model accuracy (k-fold cross-validation) and by having a validation dataset to evaluate the model."
18,19,Statistics,What is regularisation? Why is it useful?,Regularisation is the process of adding tuning parameter to a model to induce smoothness in order to prevent overfitting. This is most often done by adding a constant multiple to an existing weight vector. This constant is often the L1(Lasso) or L2(ridge). The model predictions should then minimize the loss function calculated on the regularized training set.
19,20,Statistics ,What Is the Law of Large Numbers?,"It is a theorem that describes the result of performing the same experiment a large number of times. This theorem forms the basis of frequency-style thinking. It says that the sample means, the sample variance and the sample standard deviation converge to what they are trying to estimate."
